state,year,salary,cpi
Alabama,2002,37194,178.1666667
Alabama,2003,38246,182.0916667
Alabama,2004,38325,186.1083333
Alabama,2005,38186,191.7
Alabama,2006,40347,198.9416667
Alabama,2007,43389,204.112
Alabama,2008,46604,211.684
Alabama,2009,46879,214.6485833
Alabama,2010,47571,216.7613333
Alabama,2011,47803,221.0613333
Alabama,2012,48003,227.5535
Alabama,2013,47949,231.3886667
Alabama,2014,48720,234.989
Alabama,2015,48611,236.6704167
Alabama,2016,48518,238.2429167
Alabama,2017,50391,242.6751667
Alabama,2018,50568,248.1315
Alabama,2019,52009,253.2578333
Alabama,2020,54095,257.27275
Alabama,2021,54271,263.1439167
Alaska,2002,49418,178.1666667
Alaska,2003,49685,182.0916667
Alaska,2004,51736,186.1083333
Alaska,2005,52424,191.7
Alaska,2006,53553,198.9416667
Alaska,2007,54658,204.112
Alaska,2008,56758,211.684
Alaska,2009,58395,214.6485833
Alaska,2010,59672,216.7613333
Alaska,2011,62918,221.0613333
Alaska,2012,62425,227.5535
Alaska,2013,65468,231.3886667
Alaska,2014,65891,234.989
Alaska,2015,66755,236.6704167
Alaska,2016,67443,238.2429167
Alaska,2017,68138,242.6751667
Alaska,2018,69682,248.1315
Alaska,2019,70277,253.2578333
Alaska,2020,72010,257.27275
Alaska,2021,72861,263.1439167
Arizona,2002,39973,178.1666667
Arizona,2003,40894,182.0916667
Arizona,2004,41843,186.1083333
Arizona,2005,42905,191.7
Arizona,2006,44672,198.9416667
Arizona,2007,45941,204.112
Arizona,2008,45772,211.684
Arizona,2009,46358,214.6485833
Arizona,2010,46952,216.7613333
Arizona,2011,47553,221.0613333
Arizona,2012,48691,227.5535
Arizona,2013,49885,231.3886667
Arizona,2014,45335,234.989
Arizona,2015,45406,236.6704167
Arizona,2016,47218,238.2429167
Arizona,2017,47403,242.6751667
Arizona,2018,48723,248.1315
Arizona,2019,50353,253.2578333
Arizona,2020,50782,257.27275
Arizona,2021,52157,263.1439167
Arkansas,2002,36962,178.1666667
Arkansas,2003,37753,182.0916667
Arkansas,2004,39314,186.1083333
Arkansas,2005,40495,191.7
Arkansas,2006,42768,198.9416667
Arkansas,2007,44245,204.112
Arkansas,2008,45773,211.684
Arkansas,2009,47472,214.6485833
Arkansas,2010,46700,216.7613333
Arkansas,2011,46500,221.0613333
Arkansas,2012,46314,227.5535
Arkansas,2013,46631,231.3886667
Arkansas,2014,47319,234.989
Arkansas,2015,47823,236.6704167
Arkansas,2016,48218,238.2429167
Arkansas,2017,48304,242.6751667
Arkansas,2018,50544,248.1315
Arkansas,2019,49438,253.2578333
Arkansas,2020,50456,257.27275
Arkansas,2021,50992,263.1439167
California,2002,54348,178.1666667
California,2003,56283,182.0916667
California,2004,56444,186.1083333
California,2005,57876,191.7
California,2006,59825,198.9416667
California,2007,63640,204.112
California,2008,64424,211.684
California,2009,68093,214.6485833
California,2010,68203,216.7613333
California,2011,67871,221.0613333
California,2012,68531,227.5535
California,2013,69324,231.3886667
California,2014,71396,234.989
California,2015,72535,236.6704167
California,2016,77179,238.2429167
California,2017,79128,242.6751667
California,2018,80680,248.1315
California,2019,83059,253.2578333
California,2020,84531,257.27275
