year,state,total_revenue,total_revenue_pp,federal_revenue,federal_revenue_pp,state_revenue,state_revenue_pp,local_revenue,local_revenue_pp,current_spending,current_spending_pp,total_salary,total_salary_pp,total_benefits,total_benefits_pp,all_instruction,all_instruction_pp,instructional_staff_salary,instructional_staff_salary_pp,instructional_staff_benefits,instructional_staff_benefits_pp,all_support_services,all_support_services_pp,support_services_staff_salary,support_services_staff_salary_pp,support_services_staff_benefits,support_services_staff_benefits_pp,ss_pupil_support_services,ss_pupil_support_services_pp,ss_instructional_staff_support_services,ss_instructional_staff_support_services_pp,ss_general_administration,ss_general_administration_pp,ss_school_administration,ss_school_administration_pp,ss_operation_and_maintenance_of_plant,ss_operation_and_maintenance_of_plant_pp,ss_pupil_transportation,ss_pupil_transportation_pp,ss_other_nonspecified_support_services,ss_other_nonspecified_support_services_pp,total_capital_outlay,total_capital_outlay_pp,short_term_debt,short_term_debt_pp,long_term_debt,long_term_debt_pp,enrollment,cpi,total_debt,total_debt_pp
2002,Alabama,7403182460.583127,10192.072979412145,734165937.6666667,1010.7425672009836,4347860859.504142,5985.757377729512,2321155663.4123187,3195.573034481651,6576379560.927711,8830.062858497648,4048622086.633559,5573.798484368793,1177455309.1697931,1621.0204847622035,3928742611.825773,5404.893749690384,2753620807.4113894,3790.948867218718,757051901.0753877,1042.2506574008883,2042674397.2614264,2812.1764703672256,1090263672.9438233,1500.9807259025292,335913496.743047,462.45558970767894,295039619.511218,406.18289149089185,247419372.09543133,340.6252702683582,162548244.62066448,223.77675244176297,397267632.60481423,546.9296170538952,550230602.1225013,757.5082052231041,271835975.99965644,374.2416011507499,118332950.30714068,162.91213273846355,716435055.926766,986.3245192962908,0,0,2824551554.3733296,3888.606618832814,726367,178.1666667,2824551554.3733296,3888.606618832814
2003,Alabama,7338129033.785981,10081.258197522993,802094746.6345531,1101.9294117977338,4191973058.961242,5759.005354567937,2344061228.190186,3220.3093024080713,6729855295.164092,9035.335147767088,4144264511.3561363,5693.462086779833,1177221516.5709171,1617.2896695771744,3980225493.8954325,5465.000211346849,2797160326.633168,3842.7937370293726,749547102.4100412,1029.7456318603734,2149635509.709462,2953.2052977661056,1141499799.832685,1568.2205234189335,342430018.41335773,470.4308351525457,314084921.6605034,431.49200220923666,268687837.4333096,369.12770300322586,179135586.03832582,246.09455450165308,403750203.0495171,554.6805669526007,575001947.0042557,789.9524995258885,281569018.1279449,386.8310258181628,127405996.3956055,175.02694575533806,610756159.8657715,839.0640319318907,0,0,3204738007.8555236,4402.730198704365,727898,182.0916667,3204738007.8555236,4402.730198704365
2004,Alabama,7401426328.543666,10133.134173041351,864909214.6885611,1184.1343212034449,4107774802.580535,5623.8742598394965,2428742311.2745695,3325.1394158151857,6759529837.991676,9059.148023907965,4060079869.9404607,5558.5705493903315,1284377728.5535982,1758.4171415230226,3975169840.158092,5438.372462524223,2734024716.1893206,3743.1025160333315,815711633.1649507,1116.7708620546762,2185067128.2031193,2991.5292455633416,1126159998.4088407,1541.7979326452867,377204958.8361984,516.430147112601,323290691.0286644,442.61096552950534,279964084.489762,383.2929677442874,178168262.5156796,243.92124701006063,401583259.7204286,549.8008408095286,588157785.217509,805.2373271938811,289781759.1639782,396.72971765042394,124121286.06709734,169.9361796256546,621545067.4945676,850.9388654548762,0,0,3297853966.2629924,4515.024444797388,730418,186.1083333,3297853966.2629924,4515.024444797388
2005,Alabama,7902197606.121544,10834.72581130673,893709435.4251435,1225.3671590375586,4358420482.709964,5975.8407137976,2650067687.9864373,3633.5179384715702,7059228745.198227,9483.030619105373,4063435868.9906106,5571.384330555556,1450231863.3046427,1988.421762415232,4097816741.757955,5614.397328142932,2710304673.437663,3716.108262076161,912056726.8453313,1250.517348578508,2340568703.942358,3209.158817188315,1156154481.6092854,1585.2000736437142,434808394.26969224,596.1695409754826,345411146.3667188,473.59927359154926,317010489.42618674,434.6527154016693,184961257.86254564,253.59550777256132,418011181.2336985,573.1398049817424,627725379.1118937,860.6759901017214,313079598.0086072,429.25763738914975,134369651.93270737,184.23788794992177,687059158.7167449,942.031619235785,0,0,3426889134.710485,4698.616386997914,729340,191.7,3426889134.710485,4698.616386997914
2006,Alabama,8227663369.057065,11069.618885951555,944185927.2811651,1270.3172066317063,4578516512.041466,6160.010352622625,2704960929.734434,3639.2913266972237,7495523295.439948,9888.054473670998,4255499275.0746865,5725.415218284184,1626705649.4593546,2188.597611889817,4302054725.994713,5778.979850981614,2810028823.219113,3780.651780588002,1014704503.3553042,1365.1998020206593,2565052747.2709665,3451.0650522136193,1241710175.2483206,1670.6164921257289,498107115.049117,670.1657159937727,378817824.5153407,509.66579894698344,362346247.3384415,487.5002314811711,198809880.32609054,267.4869296749488,454342404.77035266,611.2730705799399,683346081.4320201,919.3796311826112,339843152.853459,457.22625631345426,147547156.03526205,198.5072698951104,861987105.8539793,1159.7350786269449,0,0,3704436627.81101,4984.006730313072,743265,198.9416667,3704436627.81101,4984.006730313072
2007,Alabama,8908256775.63911,11985.180229555343,868540058.340519,1168.5369849396411,5131223271.242014,6903.554362874304,2908493446.0565767,3913.0888817413966,8033790086.475807,10575.947918814181,4554825021.8299265,6128.06316472084,1793016318.8617034,2412.322770415262,4605007274.689876,6190.505804227581,2996705963.7368207,4031.772752067492,1118001806.3820353,1504.1567189214743,2740480646.789508,3687.0399723926075,1336046865.08755,1797.5136006089792,552144691.2895861,742.8581756094693,416810290.72763973,560.7737245972799,383897448.5233597,516.4941540306302,206182973.91750607,277.3995983577644,487034941.8677001,655.2569756555224,712372958.0254958,958.4327544313905,371887891.2116877,500.3351988736576,162294142.5161186,218.34756644636278,866956934.4967469,1166.406826264502,0,0,4969280793.974631,6685.673162528416,743273,204.112,4969280793.974631,6685.673162528416
2008,Alabama,9388025865.791698,12636.68074684435,864597791.4969954,1163.7823099053303,5650283678.52908,7605.518416153322,2873144395.765622,3867.3678671628463,8367549353.669856,11063.880413446457,4653351164.597938,6263.60045609257,1975105910.988785,2658.5806918331095,4797038586.1390085,6452.917439272689,3031730943.562102,4080.8340989517387,1232355480.766142,1658.7993687052397,2884139778.360669,3882.170979797717,1398523458.4982803,1882.4746436905953,612162183.3924623,823.9913221830652,449602616.28535926,605.1896499617353,398728766.3852723,536.7039851854651,210551793.02875984,283.4103313075149,510696447.64247644,687.4210621846714,746804878.8063811,1005.2261461659832,404600181.58552366,544.6038400398708,163155094.62689668,219.6159649524763,992706699.2651782,1336.2300645655787,0,0,4797747142.351335,6457.973346379508,742919,211.684,4797747142.351335,6457.973346379508
2009,Alabama,8611634393.133913,11548.88396892112,873516568.1209972,1171.4527242700883,4987400314.43408,6688.500403056235,2750717510.578836,3688.9308415947976,8065184184.678241,10631.373649974608,4565821402.593435,6123.131862955556,1914365204.3253434,2567.314928639922,4598216528.524836,6162.804745459972,2972277974.3126307,3986.057958599161,1193460986.1596975,1600.5311293382292,2794543460.692852,3747.7090336798883,1376415300.4836066,1845.8797410800332,595712901.6222582,798.8991874469082,448129778.705835,600.9782482337959,373943885.5756007,501.48441207997473,207351339.19935822,278.069750484116,498792409.23692596,668.9255506257981,732095327.0461208,981.801962980857,377184836.46055347,505.83524481384256,157045884.46845806,210.61386446150374,1108630535.037871,1486.7622469418832,0,0,4919417054.746757,6597.324687886724,745668,214.6485833,4919417054.746757,6597.324687886724
2010,Alabama,8640293591.907196,11537.477192236389,1346069667.1921146,1797.4205728531567,4510349544.486771,6022.716132474076,2783874380.2283115,3717.3404869091564,8028662131.699944,10540.498007884324,4558211049.515398,6086.630380354834,1893776197.4716089,2528.7847240903648,4629470985.049528,6177.973751142266,3000280783.498484,4006.3135961297394,1185149376.7200408,1582.545262986256,2739825179.0844193,3658.5180147648593,1346199038.6502204,1797.598606969816,587022397.7084662,783.8604777695376,454053463.5519332,606.3011187544674,366000163.24036884,488.7273881125366,191129119.386857,255.2178407019422,490396161.2326916,654.833218955846,708607830.4457911,946.2157232218871,377086941.1318112,503.52795767749603,152551500.09496644,203.70663628179483,866100370.725114,1156.509621820083,0,0,5080283040.784147,6783.764505428977,748889,216.7613333,5080283040.784147,6783.764505428977
2011,Alabama,8583258942.096499,11491.338235224512,1253501716.9486146,1678.198205151692,4615209742.872295,6178.8846738128295,2714547482.2755895,3634.25535625999,7796464822.172498,10256.282860866106,4420226664.56183,5917.831102430521,1828747128.2511709,2448.335917810643,4473738515.179985,5985.762523060834,2910674582.9687796,3896.833514947862,1145114033.7870204,1533.0830974183757,2671995203.150934,3577.286998544489,1300938494.4865885,1741.7071587887683,566140948.3320074,757.9526522854821,445032853.5293422,595.8110466282074,346537530.74735475,463.9517018035645,183940876.51261804,246.2615830970381,474775107.865958,635.6365257094012,691188530.1799634,925.3663041215357,377473851.1721443,505.3599585454956,153046453.14355388,204.89987863924637,656600183.0644436,879.0584194739406,0,0,5239372294.348456,7014.509812184779,746933,221.0613333,5239372294.348456,7014.509812184779
