year,state,all_instruction_pp,cpi
2002,United States,4722,178.1666667
2002,Alabama,3743,178.1666667
2002,Alaska,5618,178.1666667
2002,Arizona,3094,178.1666667
2002,Arkansas,3774,178.1666667
2002,California,4628,178.1666667
2002,Colorado,3995,178.1666667
2002,Connecticut,6263,178.1666667
2002,Delaware,5755,178.1666667
2002,District of Columbia,6473,178.1666667
2002,Florida,3512,178.1666667
2002,Georgia,4688,178.1666667
2002,Hawaii,4417,178.1666667
2002,Idaho,3639,178.1666667
2002,Illinois,4823,178.1666667
2002,Indiana,4611,178.1666667
2002,Iowa,4342,178.1666667
2002,Kansas,4166,178.1666667
2002,Kentucky,3971,178.1666667
2002,Louisiana,3976,178.1666667
2002,Maine,5450,178.1666667
2002,Maryland,5209,178.1666667
2002,Massachusetts,6142,178.1666667
2002,Michigan,4858,178.1666667
2002,Minnesota,4895,178.1666667
2002,Mississippi,3224,178.1666667
2002,Missouri,4275,178.1666667
2002,Montana,4363,178.1666667
2002,Nebraska,4704,178.1666667
2002,Nevada,3766,178.1666667
2002,New Hampshire,4913,178.1666667
2002,New Jersey,6608,178.1666667
2002,New Mexico,3733,178.1666667
2002,New York,7945,178.1666667
2002,North Carolina,4119,178.1666667
2002,North Dakota,4112,178.1666667
2002,Ohio,4661,178.1666667
2002,Oklahoma,3529,178.1666667
2002,Oregon,4461,178.1666667
2002,Pennsylvania,5440,178.1666667
2002,Rhode Island,5828,178.1666667
2002,South Carolina,4199,178.1666667
2002,South Dakota,3821,178.1666667
2002,Tennessee,3875,178.1666667
2002,Texas,4092,178.1666667
2002,Utah,3194,178.1666667
2002,Vermont,6045,178.1666667
2002,Virginia,4622,178.1666667
2002,Washington,4144,178.1666667
2002,West Virginia,4773,178.1666667
2002,Wisconsin,5303,178.1666667
2002,Wyoming,5277,178.1666667
2003,United States,4902,182.0916667
2003,Alabama,3868,182.0916667
2003,Alaska,5728,182.0916667
2003,Arizona,3168,182.0916667
2003,Arkansas,3924,182.0916667
2003,California,4666,182.0916667
2003,Colorado,4212,182.0916667
2003,Connecticut,6458,182.0916667
2003,Delaware,6002,182.0916667
2003,District of Columbia,6976,182.0916667
2003,Florida,3793,182.0916667
2003,Georgia,4916,182.0916667
2003,Hawaii,4833,182.0916667
2003,Idaho,3720,182.0916667
2003,Illinois,5052,182.0916667
2003,Indiana,4782,182.0916667
2003,Iowa,4474,182.0916667
2003,Kansas,4401,182.0916667
2003,Kentucky,4068,182.0916667
2003,Louisiana,4161,182.0916667
2003,Maine,5826,182.0916667
2003,Maryland,5467,182.0916667
2003,Massachusetts,6336,182.0916667
2003,Michigan,4889,182.0916667
2003,Minnesota,5178,182.0916667
2003,Mississippi,3462,182.0916667
2003,Missouri,4422,182.0916667
2003,Montana,4589,182.0916667
2003,Nebraska,4967,182.0916667
2003,Nevada,3807,182.0916667
2003,New Hampshire,5217,182.0916667
2003,New Jersey,7085,182.0916667
2003,New Mexico,3870,182.0916667
2003,New York,8375,182.0916667
2003,North Carolina,4197,182.0916667
2003,North Dakota,4326,182.0916667
2003,Ohio,4881,182.0916667
2003,Oklahoma,3458,182.0916667
2003,Oregon,4407,182.0916667
2003,Pennsylvania,5739,182.0916667
2003,Rhode Island,5704,182.0916667
2003,South Carolina,4169,182.0916667
2003,South Dakota,3913,182.0916667
2003,Tennessee,4002,182.0916667
2003,Texas,4286,182.0916667
2003,Utah,3123,182.0916667
2003,Vermont,6438,182.0916667
2003,Virginia,4814,182.0916667
2003,Washington,4270,182.0916667
2003,West Virginia,5044,182.0916667
2003,Wisconsin,5532,182.0916667
2003,Wyoming,5507,182.0916667
2004,United States,5056.45,186.1083333
2004,Alabama,3934.06,186.1083333
2004,Alaska,5820.89,186.1083333
2004,Arizona,3457.88,186.1083333
2004,Arkansas,4104.95,186.1083333
2004,California,4690.48,186.1083333
2004,Colorado,4265.18,186.1083333
2004,Connecticut,6714.41,186.1083333
2004,Delaware,6300.2,186.1083333
2004,District of Columbia,6337.13,186.1083333
2004,Florida,4015.06,186.1083333
2004,Georgia,4921.66,186.1083333
2004,Hawaii,5139.44,186.1083333
2004,Idaho,3741.96,186.1083333
2004,Illinois,5195.31,186.1083333
2004,Indiana,4976.89,186.1083333
2004,Iowa,4688.5,186.1083333
2004,Kansas,4538.65,186.1083333
2004,Kentucky,4102.62,186.1083333
2004,Louisiana,4348.53,186.1083333
2004,Maine,6269.76,186.1083333
2004,Maryland,5710.52,186.1083333
2004,Massachusetts,6669.13,186.1083333
2004,Michigan,5181.57,186.1083333
2004,Minnesota,5444.12,186.1083333
2004,Mississippi,3718.29,186.1083333
2004,Missouri,4433.34,186.1083333
2004,Montana,4751.53,186.1083333
2004,Nebraska,5162.66,186.1083333
2004,Nevada,4008.37,186.1083333
2004,New Hampshire,5587.86,186.1083333
2004,New Jersey,7523.95,186.1083333
2004,New Mexico,4149.42,186.1083333
2004,New York,8840.35,186.1083333
2004,North Carolina,4176.52,186.1083333
2004,North Dakota,4727.38,186.1083333
2004,Ohio,5105.03,186.1083333
2004,Oklahoma,3422.62,186.1083333
2004,Oregon,4498.99,186.1083333
2004,Pennsylvania,6048.69,186.1083333
2004,Rhode Island,6048.09,186.1083333
2004,South Carolina,4238.87,186.1083333
2004,South Dakota,4168.99,186.1083333
2004,Tennessee,4215.88,186.1083333
2004,Texas,4286.45,186.1083333
2004,Utah,3186.57,186.1083333
2004,Vermont,6919.85,186.1083333
2004,Virginia,5041.26,186.1083333
2004,Washington,4355.92,186.1083333
2004,West Virginia,5197.23,186.1083333
2004,Wisconsin,5643.56,186.1083333
2004,Wyoming,5567.89,186.1083333
2005,United States,5303.13,191.7
2005,Alabama,4183.42,191.7
