year,state,total_revenue,total_revenue_pp,federal_revenue,federal_revenue_pp,state_revenue,state_revenue_pp,local_revenue,local_revenue_pp,current_spending,current_spending_pp,total_salary,total_salary_pp,total_benefits,total_benefits_pp,all_instruction,all_instruction_pp,instructional_staff_salary,instructional_staff_salary_pp,instructional_staff_benefits,instructional_staff_benefits_pp,all_support_services,all_support_services_pp,support_services_staff_salary,support_services_staff_salary_pp,support_services_staff_benefits,support_services_staff_benefits_pp,ss_pupil_support_services,ss_pupil_support_services_pp,ss_instructional_staff_support_services,ss_instructional_staff_support_services_pp,ss_general_administration,ss_general_administration_pp,ss_school_administration,ss_school_administration_pp,ss_operation_and_maintenance_of_plant,ss_operation_and_maintenance_of_plant_pp,ss_pupil_transportation,ss_pupil_transportation_pp,ss_other_nonspecified_support_services,ss_other_nonspecified_support_services_pp,total_capital_outlay,total_capital_outlay_pp,short_term_debt,short_term_debt_pp,long_term_debt,long_term_debt_pp,enrollment,cpi
2002,United States,419797506000,8899.99,32703469000,693.34,207374637000,4396.48,179719400000,3810.17,370533900000,7701,236939890000,5023.28,62295754000,1320.71,224815136000,4722,160704918000,3407.05,41702191000,884.11,125479294000,2660.24,68429616000,1450.75,18402044000,390.14,18490192000,392,17394477000,368.77,7305258000,154.88,20556361000,435.81,34621976000,734.01,15119116000,320.54,11991914000,254.24,52921115000,1121.96,7143275000,151.44,219303738000,4649.38,47168335,178.1666667
2002,Alabama,5126856000,7058.22,508425000,699.96,3010983000,4145.26,1607448000,2213,4554278000,6115,2803754000,3859.97,815412000,1122.59,2720735000,3743,1906939000,2625.31,524274000,721.78,1414594000,1947.49,755030000,1039.46,232627000,320.26,204321000,281.29,171343000,235.89,112568000,154.97,275116000,378.76,381046000,524.59,188252000,259.17,81948000,112.82,496146000,683.05,0,0,1956060000,2692.94,726367,178.1666667
2002,Alaska,1377767000,10358.37,249222000,1873.71,773418000,5814.74,355127000,2669.93,1282948000,9586,761206000,5722.92,217924000,1638.4,747223000,5618,499986000,3759.01,140085000,1053.19,485124000,3647.27,237828000,1788.05,71344000,536.38,64390000,484.1,72767000,547.08,20885000,157.02,73112000,549.67,165297000,1242.74,49777000,374.24,38896000,292.43,215409000,1619.49,0,0,644030000,4841.97,133010,178.1666667
2002,Arizona,6162807000,7169.95,619869000,721.17,2825228000,3286.93,2717710000,3161.84,4780245000,5524,3177747000,3697.06,606188000,705.25,2659448000,3094,2030476000,2362.3,380337000,442.49,1833852000,2133.54,1060526000,1233.84,206684000,240.46,295440000,343.72,143285000,166.7,81241000,94.52,278307000,323.79,623215000,725.06,199438000,232.03,212926000,247.72,966925000,1124.94,22703000,26.41,4125901000,4800.17,859533,178.1666667
2002,Arkansas,3135823000,6981.51,331069000,737.08,2334551000,5197.58,470203000,1046.85,2772856000,6119,1801799000,4011.48,404842000,901.33,1697645000,3774,1220300000,2716.84,265743000,591.64,910208000,2026.46,517792000,1152.8,123524000,275.01,125389000,279.16,121772000,271.11,95068000,211.66,156136000,347.62,254100000,565.72,97111000,216.21,60632000,134.99,239177000,532.5,16958000,37.75,1529665000,3405.61,449161,178.1666667
2002,California,53033838000,8636.68,5084409000,828.01,31005317000,5049.28,16944112000,2759.39,47408868000,7511,30337851000,4940.59,7617764000,1240.57,28566063000,4628,20161156000,3283.29,5078524000,827.05,15960391000,2599.18,9317932000,1517.45,2363053000,384.83,1999778000,325.67,2815683000,458.54,409887000,66.75,3076397000,501,4359473000,709.95,1108441000,180.51,2190732000,356.77,6998522000,1139.72,0,0,18253828000,2972.68,6140537,178.1666667
2002,Colorado,5816321000,7840.51,338856000,456.78,2460333000,3316.58,3017132000,4067.15,5156218000,6884,3353766000,4520.94,623340000,840.27,2963406000,3995,2212802000,2982.9,401086000,540.67,1967267000,2651.91,1033470000,1393.14,199623000,269.1,211195000,284.69,229840000,309.83,73375000,98.91,338836000,456.76,486656000,656.02,154466000,208.22,472899000,637.48,779315000,1050.53,55109000,74.29,4946344000,6667.77,741829,178.1666667
2002,Connecticut,6528727000,11882.3,288620000,525.29,2490036000,4531.87,3750071000,6825.14,5659614000,10001,3639905000,6624.63,989130000,1800.22,3570517000,6263,2544209000,4630.47,682315000,1241.81,1847167000,3361.85,927774000,1688.55,264677000,481.71,309200000,562.74,204211000,371.66,110642000,201.37,313643000,570.83,507430000,923.52,264484000,481.36,137557000,250.35,542302000,986.99,0,0,2259511000,4112.31,549450,178.1666667
2002,Delaware,1148504000,10316.12,86532000,777.25,764350000,6865.56,297622000,2673.31,1049506000,9271,624351000,5608.06,199826000,1794.88,645895000,5755,451400000,4054.58,145167000,1303.92,352551000,3166.69,157564000,1415.28,50567000,454.2,49883000,448.06,15236000,136.85,10301000,92.53,62041000,557.27,98620000,885.83,57094000,512.83,59376000,533.33,154186000,1384.93,0,0,188824000,1696.06,111331,178.1666667
2002,District of Columbia,1138126000,16627.36,141514000,2067.44,0,0,996612000,14559.92,926790000,13187,523301000,7645.12,109208000,1595.47,452905000,6473,278597000,4070.14,57993000,847.24,431693000,6306.78,230065000,3361.12,47597000,695.36,86579000,1264.87,98297000,1436.06,24575000,359.03,40190000,587.15,100469000,1467.79,54451000,795.5,27132000,396.38,218894000,3197.91,0,0,0,0,68449,178.1666667
2002,Florida,18538739000,7414.96,1762460000,704.93,8542871000,3416.9,8233408000,3293.13,15615806000,6056,9917804000,3966.84,2622286000,1048.84,8781232000,3512,6185609000,2474.07,1570904000,628.32,5589428000,2235.61,3238469000,1295.29,903647000,361.43,789368000,315.72,932253000,372.87,175550000,70.21,934782000,373.89,1628227000,651.24,640391000,256.14,488857000,195.53,2999914000,1199.88,0,0,8903382000,3561.1,2500179,178.1666667
2002,Georgia,13038876000,8866.16,904826000,615.26,6361710000,4325.83,5772340000,3925.07,10852308000,7340,7164818000,4871.92,2099624000,1427.7,6894589000,4688,4987436000,3391.35,1487742000,1011.63,3341604000,2272.22,1961133000,1333.53,556626000,378.49,495220000,336.74,549349000,373.55,140722000,95.69,653037000,444.05,821663000,558.71,398379000,270.89,283234000,192.59,1659378000,1128.34,316057000,214.91,3554005000,2416.65,1470634,178.1666667
2002,Hawaii,1889600000,10239.18,170152000,922,1684226000,9126.32,35222000,190.86,1394522000,7253,925264000,5013.73,177926000,964.13,815123000,4417,606089000,3284.22,116918000,633.54,457784000,2480.6,254707000,1380.18,48322000,261.84,74140000,401.74,56680000,307.13,73766000,399.72,80430000,435.83,114541000,620.66,23105000,125.2,35122000,190.32,42115000,228.21,0,0,0,0,184546,178.1666667
2002,Idaho,1624222000,6591.41,138930000,563.8,988386000,4011.06,496906000,2016.54,1463635000,5923,933386000,3787.86,281959000,1144.24,896815000,3639,640227000,2598.17,188270000,764.04,499035000,2025.18,268167000,1088.27,83421000,338.54,80043000,324.83,63272000,256.77,33498000,135.94,85281000,346.09,142105000,576.69,66939000,271.65,27897000,113.21,167918000,681.44,10619000,43.09,677190000,2748.17,246415,178.1666667
2002,Illinois,18562363000,9039.84,1438287000,700.44,6808150000,3315.56,10315926000,5023.84,16612675000,8022,10444900000,5086.65,2878640000,1401.89,9904454000,4823,7132758000,3473.64,1904148000,927.32,6025120000,2934.22,3063678000,1492.01,912142000,444.21,1023966000,498.67,667891000,325.26,546698000,266.24,882646000,429.85,1653080000,805.05,790028000,384.74,460811000,224.41,2897117000,1410.89,202142000,98.44,12293607000,5986.97,2053395,178.1666667
2002,Indiana,9034867000,9083.4,523331000,526.14,4446730000,4470.62,4064806000,4086.64,7602178000,7580,4638934000,4663.85,1856976000,1866.95,4586033000,4611,3151089000,3168.02,1284999000,1291.9,2650367000,2664.6,1318718000,1325.8,536801000,539.68,335928000,337.73,249024000,250.36,139435000,140.18,430129000,432.44,813153000,817.52,415355000,417.59,267343000,268.78,875596000,880.3,571932000,575,891715000,896.51,994657,178.1666667
2002,Iowa,4043822000,8321.79,273857000,563.57,1951680000,4016.36,1818285000,3741.85,3568585000,7305,2411801000,4963.25,644390000,1326.09,2109878000,4342,1567717000,3226.21,413061000,850.04,1180608000,2429.57,697122000,1434.61,191368000,393.82,225036000,463.1,171038000,351.98,99585000,204.94,190331000,391.68,286512000,589.61,114330000,235.28,93776000,192.98,459382000,945.36,2896000,5.96,1289245000,2653.14,485932,178.1666667
2002,Kansas,3815283000,8114.62,282329000,600.48,2281992000,4853.51,1250962000,2660.64,3320601000,7052,2126275000,4522.32,444112000,944.57,1958937000,4166,1397451000,2972.2,278244000,591.79,1195259000,2542.16,666976000,1418.57,152130000,323.56,158482000,337.07,148041000,314.86,111279000,236.68,207776000,441.91,352339000,749.38,129588000,275.62,87754000,186.64,231630000,492.65,1945000,4.14,2836965000,6033.86,470174,178.1666667
2002,Kentucky,4619640000,7059.75,486226000,743.05,2743882000,4193.21,1389532000,2123.49,4300191000,6493,2854450000,4362.18,729769000,1115.24,2598897000,3971,1931071000,2951.07,487261000,744.63,1424273000,2176.58,829973000,1268.37,229245000,350.33,166268000,254.09,204433000,312.42,120073000,183.5,238943000,365.15,352896000,539.3,212618000,324.92,129042000,197.2,146218000,223.45,0,0,2117800000,3236.43,654363,178.1666667
2002,Louisiana,5227536000,7210.13,667687000,920.91,2536111000,3497.95,2023738000,2791.26,4748747000,6519,3086950000,4257.7,820537000,1131.73,2882613000,3976,2094026000,2888.2,557752000,769.28,1536497000,2119.23,855504000,1179.96,216634000,298.79,195904000,270.2,213646000,294.67,108999000,150.34,256417000,353.67,415690000,573.34,245976000,339.26,99865000,137.74,443002000,611.01,0,0,2229967000,3075.7,725027,178.1666667
2002,Maine,1960101000,9363.38,141528000,676.08,853761000,4078.4,964812000,4608.89,1807345000,8351,1080753000,5162.74,404679000,1933.15,1180701000,5450,770634000,3681.31,276873000,1322.62,548552000,2620.43,270568000,1292.5,87215000,416.62,60440000,288.72,58553000,279.71,37983000,181.44,101523000,484.97,176972000,845.39,80865000,386.29,32216000,153.9,140092000,669.22,0,0,577824000,2760.26,209337,178.1666667
2002,Maryland,8424902000,9789.11,527311000,612.7,3133775000,3641.21,4763816000,5535.2,7344489000,8507,4768530000,5540.68,1404799000,1632.27,4482809000,5209,3245680000,3771.24,966265000,1122.73,2469485000,2869.36,1434077000,1666.29,410152000,476.57,315452000,366.53,386930000,449.58,76394000,88.76,489763000,569.07,646703000,751.42,365300000,424.45,188943000,219.54,941083000,1093.47,219000,0.25,1912102000,2221.72,860640,178.1666667
2002,Massachusetts,11127420000,11602.9,600037000,625.68,4681737000,4881.79,5845646000,6095.43,9864433000,9856,6126495000,6388.28,1710295000,1783.38,6256148000,6142,4195512000,4374.79,1260880000,1314.76,3256542000,3395.69,1760164000,1835.38,423566000,441.66,568224000,592.5,621718000,648.28,147405000,153.7,418332000,436.21,902657000,941.23,387085000,403.63,211121000,220.14,1154305000,1203.63,0,0,5297576000,5523.94,959021,178.1666667
