Growth Rank,2020 Rank,state,2002,2020,Growth
 , ,United States,6932,10743,0.55
1,16,Indiana,2125,10481,3.932
2,15,Montana,2388,10515,3.404
3,30,Rhode Island,1729,6607,2.822
4,5,California,4293,15636,2.643
5,25,North Dakota,2288,7444,2.254
6,36,Delaware,2449,6139,1.507
7,14,Arkansas,4972,11467,1.306
8,22,Iowa,3840,8704,1.267
9,3,Oregon,8008,16706,1.086
10,13,Nebraska,5540,11547,1.084
11,35,Maryland,3209,6145,0.915
12,20,Kentucky,4673,8868,0.898
13,1,Texas,10051,19009,0.891
14,27,Alabama,3889,7116,0.83
15,26,New Mexico,4035,7336,0.818
16,28,Maine,3986,7054,0.77
17,18,Ohio,5310,9190,0.731
18,21,South Dakota,5190,8819,0.699
19,9,South Carolina,7911,12870,0.627
20,45,Oklahoma,2429,3814,0.57
21,8,Kansas,8719,13461,0.544
22,33,Utah,4130,6187,0.498
23,7,Washington,9361,13818,0.476
24,24,Missouri,5785,8406,0.453
25,2,Minnesota,12868,17759,0.38
26,12,Illinois,8787,11722,0.334
27,40,Idaho,4031,5258,0.305
28,11,Colorado,9736,12160,0.249
29,10,New York,10207,12488,0.223
30,34,Tennessee,5039,6165,0.223
31,23,Alaska,6992,8463,0.21
32,6,Michigan,12831,15377,0.198
33,37,North Carolina,4832,5609,0.161
34,41,Louisiana,4441,5126,0.154
35,43,Mississippi,4012,4454,0.11
36,31,Connecticut,5938,6590,0.11
37,4,Pennsylvania,14441,15717,0.088
38,19,Wisconsin,9041,9186,0.016
39,48,West Virginia,1090,1072,-0.017
40,46,Vermont,3657,3541,-0.032
41,42,Florida,5142,4940,-0.039
42,32,Arizona,6970,6550,-0.06
43,38,Virginia,6326,5559,-0.121
44,29,Massachusetts,7977,6757,-0.153
45,44,New Hampshire,5361,4438,-0.172
46,47,Georgia,3800,2989,-0.213
47,39,New Jersey,6935,5421,-0.218
48,17,Nevada,13152,10046,-0.236
49,49,Wyoming,2301,463,-0.799
50,50,Hawaii,0,0,NA
